St,Lon,Lat
Alabama,-86.7509,32.5901
Alaska,-127.25,49.25
Arizona,-111.625,34.2192
Arkansas,-92.2992,34.7336
California,-119.773,36.5341
Colorado,-105.513,38.6777
Connecticut,-72.3573,41.5928
Delaware,-74.9841,38.6777
Florida,-81.685,27.8744
Georgia,-83.3736,32.3329
Hawaii,-126.25,31.75
Idaho,-113.93,43.5648
Illinois,-89.3776,40.0495
Indiana,-86.0808,40.0495
Iowa,-93.3714,41.9358
Kansas,-98.1156,38.4204
Kentucky,-84.7674,37.3915
Louisiana,-92.2724,30.6181
Maine,-68.9801,45.6226
Maryland,-76.6459,39.2778
Massachusetts,-71.58,42.3645
Michigan,-84.687,43.1361
Minnesota,-94.6043,46.3943
Mississippi,-89.8065,32.6758
Missouri,-92.5137,38.3347
Montana,-109.32,46.823
Nebraska,-99.5898,41.3356
Nevada,-116.851,39.1063
New Hampshire,-71.3924,43.3934
New Jersey,-74.2336,39.9637
New Mexico,-105.942,34.4764
New York,-75.1449,43.1361
North Carolina,-78.4686,35.4195
North Dakota,-100.099,47.2517
Ohio,-82.5963,40.221
Oklahoma,-97.1239,35.5053
Oregon,-120.068,43.9078
Pennsylvania,-77.45,40.9069
Rhode Island,-71.1244,41.5928
South Carolina,-80.5056,33.619
South Dakota,-99.7238,44.3365
Tennessee,-86.456,35.6767
Texas,-98.7857,31.3897
Utah,-111.33,39.1063
Vermont,-72.545,44.2508
Virginia,-78.2005,37.563
Washington,-119.746,47.4231
West Virginia,-80.6665,38.4204
Wisconsin,-89.9941,44.5937
Wyoming,-107.256,43.0504